2007,1,Femicidio Art.Nº 21 LPVCM,6
2007,2,Femicidio ampliado (Belém do Pará),15
2008,1,Femicidio Art.Nº 21 LPVCM,18
2008,2,Femicidio ampliado (Belém do Pará),15
2009,1,Femicidio Art.Nº 21 LPVCM,15
2009,2,Femicidio ampliado (Belém do Pará),24
2010,1,Femicidio Art.Nº 21 LPVCM,10
2010,2,Femicidio ampliado (Belém do Pará),21
2011,1,Femicidio Art.Nº 21 LPVCM,12
2011,2,Femicidio ampliado (Belém do Pará),30
2012,1,Femicidio Art.Nº 21 LPVCM,5
2012,2,Femicidio ampliado (Belém do Pará),21
2013,1,Femicidio Art.Nº 21 LPVCM,7
2013,2,Femicidio ampliado (Belém do Pará),11
2014,1,Femicidio Art.Nº 21 LPVCM,7
2014,2,Femicidio ampliado (Belém do Pará),17
2015,1,Femicidio Art.Nº 21 LPVCM,9
2015,2,Femicidio ampliado (Belém do Pará),18
2016,1,Femicidio Art.Nº 21 LPVCM,11
2016,2,Femicidio ampliado (Belém do Pará),12
2017,1,Femicidio Art.Nº 21 LPVCM,3
2017,2,Femicidio ampliado (Belém do Pará),5
