Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
01/01/2017,AMAZONAS,LETICIA (CT),Domingo,15:05:00,KILOMETRO 11,RURAL,CARRETERA,ARMA BLANCA / CORTOPUNZANTE,PASAJERO MOTOCICLETA,PASAJERO MOTOCICLETA,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,91001000,1
01/01/2017,ANTIOQUIA,BETANIA,Domingo,21:20:00,LA CUMBRE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5091000,1
01/01/2017,ANTIOQUIA,COPACABANA,Domingo,4:48:00,MACHADO,URBANA,DENTRO DE LA VIVIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5212000,1
01/01/2017,ANTIOQUIA,EBÉJICO,Domingo,5:00:00,SAGUA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,46,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5240000,1
01/01/2017,ANTIOQUIA,EL BAGRE,Domingo,6:30:00,LAS BRISAS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5250000,1
01/01/2017,ANTIOQUIA,ITUANGO,Domingo,6:40:00,PEÑITAS,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,DIVORCIADO,COLOMBIA,AGRICULTOR,-,PRIMARIA,5361000,1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,0:30:00,DOCE DE OCTUBRE C-6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,SECUNDARIA,5001000,1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,0:30:00,EL RINCON C-16,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,22:10:00,LA PILARICA C-7,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,4,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,ANALFABETA,5001000,1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,13:40:00,EL RINCON C-16,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,5001000,1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,22:15:00,DOCE DE OCTUBRE C-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,4:20:00,13 DE NOVIIEMBRE C-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,36,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,1
01/01/2017,ANTIOQUIA,MEDELLÍN (CT),Domingo,7:50:00,BARRIO COLON C-10,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,26,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,5001000,1
01/01/2017,ANTIOQUIA,VALDIVIA,Domingo,14:30:00,CHAVELINO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5854000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,14:00:00,BOSTON,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,8001000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,22:20:00,SAN ROQUE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,65,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,8001000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,12:50:00,LAS NIEVES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,8001000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,17:45:00,EL BOSQUE,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,8001000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,10:35:00,NUEVA COLOMBIA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,8001000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,3:05:00,7 DE ABRIL,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO TAXI,A PIE,42,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,8001000,1
01/01/2017,ATLÁNTICO,BARRANQUILLA (CT),Domingo,10:25:00,CARLOS MEISEL,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,8001000,1
01/01/2017,BOYACÁ,OTANCHE,Domingo,0:30:00,VDA.CUNCHALA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,44,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,15507000,1
01/01/2017,CALDAS,MANIZALES (CT),Domingo,19:00:00,SAN ANTONIO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,17001000,1
